Ticker symbol,Security,GICS Sector,Address of Headquarters,City,State,state_abv,lat,lon
KHC,Kraft Heinz Co,Consumer Staples,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,PA,40.4416941,-79.9900861
KR,Kroger Co.,Consumer Staples,"Cincinnati, Ohio",Cincinnati,Ohio,OH,39.1014537,-84.5124602
LB,L Brands Inc.,Consumer Discretionary,"Columbus, Ohio",Columbus,Ohio,OH,39.9622601,-83.0007065
LLL,L-3 Communications Holdings,Industrials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
LH,Laboratory Corp. of America Holding,Health Care,"Burlington, North Carolina",Burlington,North Carolina,NC,36.0956918,-79.4377991
LRCX,Lam Research,Information Technology,"Fremont, California",Fremont,California,CA,37.5482697,-121.988571
LEG,Leggett & Platt,Industrials,"Carthage, Missouri",Carthage,Missouri,MO,37.1765141,-94.3103412
LEN,Lennar Corp.,Consumer Discretionary,"Miami, Florida",Miami,Florida,FL,25.7741728,-80.19362
LUK,Leucadia National Corp.,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
LVLT,Level 3 Communications,Telecommunications Services,"Broomfield, Colorado",Broomfield,Colorado,CO,39.9403995,-105.05208
LLY,Lilly (Eli) & Co.,Health Care,"Indianapolis, Indiana",Indianapolis,Indiana,IN,39.7683331,-86.1583502
LNC,Lincoln National,Financials,"Radnor, Pennsylvania",Radnor,Pennsylvania,PA,40.0463001,-75.3595487
LLTC,Linear Technology Corp.,Information Technology,"Milpitas, California",Milpitas,California,CA,37.4282771,-121.9069256
LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois",Chicago,Illinois,IL,41.8755616,-87.6244212
LMT,Lockheed Martin Corp.,Industrials,"Bethesda, Maryland",Bethesda,Maryland,MD,38.9843774,-77.0941675
L,Loews Corp.,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
LOW,Lowe's Cos.,Consumer Discretionary,"Mooresville, North Carolina",Mooresville,North Carolina,NC,35.5848596,-80.8100724
MTB,M&T Bank Corp.,Financials,"Buffalo, New York",Buffalo,New York,NY,42.8867166,-78.8783922
MAC,Macerich,Real Estate,"Santa Monica, California",Santa Monica,California,CA,34.0194704,-118.4912273
M,Macy's Inc.,Consumer Discretionary,"Cincinnati, Ohio",Cincinnati,Ohio,OH,39.1014537,-84.5124602
MRO,Marathon Oil Corp.,Energy,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
MPC,Marathon Petroleum,Energy,"Findlay, Ohio",Findlay,Ohio,OH,41.0413873,-83.6503982
MAR,Marriott Int'l.,Consumer Discretionary,"Bethesda, Maryland",Bethesda,Maryland,MD,38.9843774,-77.0941675
MMC,Marsh & McLennan,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina",Raleigh,North Carolina,NC,35.7803977,-78.6390989
MAS,Masco Corp.,Industrials,"Taylor, Michigan",Taylor,Michigan,MI,42.240872,-83.2696509
MA,Mastercard Inc.,Information Technology,"Harrison, New York",Harrison,New York,NY,41.0195135,-73.7111637
MAT,Mattel Inc.,Consumer Discretionary,"El Segundo, California",El Segundo,California,CA,33.917028,-118.4156337
